repo	now	target	action	tier	reason
nanthansr	public	public	keep	profile	Profile README. The most-read thing Nanthan owns.
mySchedule	public	public	rename	site	Becomes nanthansr.github.io so Pages serves at the bare root.
dashboard	-	private	create	private	Private daily pages split out of mySchedule. Job tracker, gap analysis, target companies. Must never be public.
mlops-fraud-pipeline	public	public	showcase	showcase	Flagship. Only repo with real CI, Docker, MLflow history and a demo. Numbers are reproducible from the repo.
scAnki	private	public	rename+publish	showcase	Becomes carnet-snap. Live at carnet-snap.onrender.com, 16 test files, FastAPI + Swift iOS client. BLOCKED until .env is purged from history and both keys are rotated.
multipaste	public	private	private	hide	Real engineering (CGEventTap, echo suppression, Sparkle+EdDSA verified E2E) but the public README sold a product nobody could get: no GitHub release, no DMG, Gumroad 'link coming soon'. production-audit.md still lists 4 open P0s including telemetry-on-by-default against a landing page claiming none. Private until it is genuinely shippable. 2026-08-06.
pomofocus	-	public	created	showcase	Native Swift menu bar app, builds clean, 5 tests, zero dependencies, no network calls, and it promises nothing it cannot deliver - the opposite of multipaste's problem. Fills the native-macOS slot. Created public 2026-08-06.
learn-buddy	public	private	private	hide	One commit, an initial scaffold. README lists a team as [INSE Friend] / [Friend 3] / [Friend 4] - unfilled placeholders - and Nanthan is the only committer. 21 real tests and CI, but it cannot be presented as a shipped team project. 2026-08-06.
visual-francais	public	public	tidy	supporting	Working tool with Playwright tests and a SPEC/DEVLOG. Solid but narrow. Description and topics only, no images.
aws-two-tier-project	public	public	tidy	supporting	Cleanest infrastructure story in the set. Stale since March and no CI, but it is a real deploy.
dsms_distributed_share_market	public	public	tidy	supporting	Concordia distributed-systems coursework in Java. Relevant to backend roles; keep as academic depth.
llm-agentic-ai-bootcamp	public	private	private	hide	Materials from a paid bootcamp. Republishing purchased course content is a licensing risk, not a portfolio asset.
mlops-zero-to-hero	public	private	private	hide	Course exercises, self-described learning repo, no README. Duplicates the fraud pipeline's story without the substance.
titanic-ml-predictor	public	private	private	hide	Tutorial dataset. Reads as a beginner artifact next to a real MLOps pipeline.
wardrobeai	public	private	private	hide	Abandoned React Native prototype, no README, no tests. Currently linked from the profile README - that link gets removed.
Flight-Booking-App	public	private	private	hide	2022 full-stack coursework. Superseded by everything above.
Conflict-Quantification	public	private	private	hide	2023 academic analysis, off-message for backend and ML roles.
indian-sign-language	public	private	private	hide	2022, no README, no description. Pages is enabled on it.
beta-function-d3	public	private	private	hide	2025 Java assignment, 620-byte README, no description.
a1electro-scroll-stop	public	private	private	hide	Client snippet. No README, no description, and it names a client publicly.
temp-node-tut	public	private	private	hide	2023 tutorial scratch. No README, no description.
RockPaperScissors-JS	public	private	private	hide	2023 toy. 68-byte README.
YTMusicUltimate	public	-	delete	delete	A fork of someone else's iOS tweak. Contributes nothing and dilutes the language stats.
rapid-paste-buffer	private	private	keep	private	Unreleased, overlaps multipaste.
azona-website	private	private	keep	private	Agency site. Azona is Tier 2, parked until after the Sept 3 exam.
nandy-second-brain	private	private	keep	private	Personal knowledge vault.
claude-dotfiles	private	private	keep	private	Machine config.
